model,n_rows,strategy,n_cores,median_wall_time_sec,median_energy_joules,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,repeats,median_wall_time_min,energy_per_second
RandomForest,1000,joblib,8,34.2981006000191,920.5197619997592,36.56819860000784,996.8395013339667,5.3191852850122645,145.99327818996494,3,0.5716350100003182,26.838797073189724
RandomForest,1000,joblib,4,38.296925500035286,1190.6993349991374,38.01617916667601,1221.8096513332666,0.9556047342327484,65.36001048381382,3,0.6382820916672548,31.09125130679329
RandomForest,1000,multiprocessing,8,39.37713489995804,1098.2279009999645,40.23519646665469,1108.6591523325471,1.7788072360070684,30.22156053295406,3,0.6562855816659673,27.889990061240713
RandomForest,1000,ray,8,41.28645159996813,1141.8574289978585,41.60861029999796,1142.7319060007976,1.0646880660604323,1.7652491858060255,3,0.6881075266661355,27.656952456498825
RandomForest,1000,multiprocessing,4,46.4058469000156,1286.4292879989928,44.81304340000497,1293.6595530000366,3.3286529893375176,46.534565235503884,3,0.7734307816669266,27.721275958408604
RandomForest,1000,ray,4,48.330180799996015,1362.7995770000025,46.56505193332365,1371.8127066673733,3.871088330779742,37.37099093161776,3,0.8055030133332669,28.197692506875846
RandomForest,1000,joblib,2,63.66883600002621,1867.4450160008396,64.07744313334115,1877.2004253332277,1.8839924641630077,53.52297008582113,3,1.0611472666671036,29.33059771973954
RandomForest,1000,ray,2,71.53688050003257,2045.17378300038,71.65020663335842,2041.626359667912,2.8457501708608985,45.38424495946528,3,1.1922813416672093,28.589082564194968
RandomForest,1000,multiprocessing,2,72.37598630000139,1992.9250409999725,73.0266713333355,2040.3415403341703,7.8525594407317865,163.68220628757896,3,1.2062664383333563,27.535722038235413
RandomForest,1000,joblib,1,120.15576940000756,2715.672979998754,120.29998473334126,2719.1337850009586,0.32403421329865034,14.815690390397853,3,2.0025961566667925,22.601269947829763
RandomForest,1000,serial,4,120.18472509999992,2739.858129001306,120.22015486667321,2746.3876853345296,0.11499053392940319,11.318961710786445,3,2.0030787516666653,22.797057835108433
RandomForest,1000,serial,2,120.332136299985,2759.3957220015664,121.16588609997416,2851.934363665789,1.712501338014237,172.44911925707072,3,2.00553560499975,22.931494502203982
RandomForest,1000,threading,1,120.37013369996566,2739.2589959976126,120.39997919998132,2750.055396999806,0.22440464830460116,22.285992054687135,3,2.0061688949994276,22.756965634228536
RandomForest,1000,serial,8,120.37231589999284,2743.808908998687,120.29626213334268,2751.9784299993084,0.14492818871549284,17.609107579534257,3,2.0062052649998807,22.794351745116256
RandomForest,1000,threading,2,120.59855639998568,2746.022529000819,120.57830756665983,2741.2580919995635,0.15456891059609174,8.330817250927002,3,2.0099759399997614,22.769945271095672
RandomForest,1000,threading,4,120.82858130004024,2737.289135001074,120.89748250000412,2748.5656126661015,0.20018713181616118,27.391677342716406,3,2.013809688334004,22.654318254419184
RandomForest,1000,threading,8,121.23836140002824,2741.736884999453,121.17709386664986,2742.5731253330323,0.13461189601415516,3.890457863713333,3,2.0206393566671372,22.614433693581862
RandomForest,1000,multiprocessing,1,122.79622849996667,2814.7801269973397,125.67682249999295,3067.071612333333,5.237626204593245,451.83659006004353,3,2.0466038083327778,22.922366276079103
RandomForest,1000,ray,1,126.87838170002216,2932.6397689994637,127.2650408000142,2955.643047332529,2.1459171684148126,77.77160415382589,3,2.114639695000369,23.113786050117564
RandomForest,1000,serial,1,127.12282190000406,2743.853322001251,146.4394789999933,2883.058491000631,37.96534785587881,251.46466911428425,3,2.118713698333401,21.58427008613442
RandomForest,10000,joblib,8,314.09369350003544,8754.953805999377,314.78075003332924,8790.417808333628,2.3650697863493244,86.02716483952298,3,5.234894891667257,27.873701341916277
RandomForest,10000,multiprocessing,8,337.58743379998486,8847.617341001223,337.6023450000018,8858.946492000718,1.4483652687936475,20.513511329529184,3,5.6264572299997475,26.208372869243984
RandomForest,10000,joblib,4,403.1587289000163,11272.479749998633,404.22041200000484,11256.657094332613,2.8319176149511187,36.53027953350005,3,6.7193121483336045,27.96040105780326
RandomForest,10000,multiprocessing,4,421.5537101000082,11152.647723000351,421.39402373332996,11147.557118000885,0.49021754447204124,20.470795926800967,3,7.025895168333469,26.456054011135446
RandomForest,10000,ray,8,422.4471935000038,9720.77243100069,426.8045266333502,9780.004583334832,13.78866223364696,107.78829728606289,3,7.040786558333396,23.010621399714907
RandomForest,10000,ray,4,558.8507305000676,13600.990781998613,568.1189610333726,13566.449647666246,33.680634913272456,166.2107784698779,3,9.314178841667793,24.337430443775663
RandomForest,10000,joblib,2,625.2466129000532,18089.954697000656,640.0626074333753,18360.292345000253,27.037089450164835,503.29319090384365,3,10.420776881667553,28.932511306370515
RandomForest,10000,multiprocessing,2,687.6161798000103,18145.62078499967,687.7030271000112,18120.55781466643,9.377448274242276,200.1672182438128,3,11.460269663333504,26.38917075842694
