n_cores,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,runs,mean_wall_time_min
1,1915.9950625922233,33381.66891902219,3908.4181866859503,62209.979726007645,90,31.93325104320372
2,1327.30255698111,25192.62853836678,2870.26051581814,49360.433154017475,90,22.1217092830185
4,1171.0773718444404,21535.016810577792,3474.1950911426215,48709.99618420177,90,19.51795619740734
8,954.1681587066583,18479.98355230006,2566.907357382995,42733.125116539304,90,15.902802645110972
