strategy,model,n_rows,n_cores,mean_wall_time_sec,std_wall_time_sec,mean_energy_joules,std_energy_joules,repeats
joblib,RandomForest,1000,1,120.29998473334126,0.32403421329865034,2719.1337850009586,14.815690390397853,3
joblib,RandomForest,1000,2,64.07744313334115,1.8839924641630077,1877.2004253332277,53.52297008582113,3
joblib,RandomForest,1000,4,38.01617916667601,0.9556047342327484,1221.8096513332666,65.36001048381382,3
joblib,RandomForest,1000,8,36.56819860000784,5.3191852850122645,996.8395013339667,145.99327818996494,3
joblib,RandomForest,10000,1,1198.6488901667374,0.3744001890966413,26870.34539033257,24.517063897123144,3
joblib,RandomForest,10000,2,640.0626074333753,27.037089450164835,18360.292345000253,503.29319090384365,3
joblib,RandomForest,10000,4,404.22041200000484,2.8319176149511187,11256.657094332613,36.53027953350005,3
joblib,RandomForest,10000,8,314.78075003332924,2.3650697863493244,8790.417808333628,86.02716483952298,3
joblib,RandomForest,48842,1,11408.50295296667,3515.5845787323747,184975.32702966649,29004.453108580852,3
joblib,RandomForest,48842,2,6518.161617366674,5467.4998612011,112982.60073500076,49466.697542689995,3
joblib,RandomForest,48842,4,2199.1301959000025,100.44316134834732,54731.42300399973,1710.66084017215,3
joblib,RandomForest,48842,8,1733.7114346000017,4.9354016786365005,43008.84609266631,181.4818040684667,3
joblib,XGBoost,1000,1,0.23947299999417734,0.07066616438598013,7.700621666566032,1.049711532410981,3
joblib,XGBoost,1000,2,1.0913684333014924,1.3480267646839006,32.15886366661548,35.71949229384118,3
joblib,XGBoost,1000,4,1.4728339333087204,2.0196976881601696,40.41567566665794,54.65240008108656,3
joblib,XGBoost,1000,8,2.238964866652774,3.111852117839099,61.2360476661758,85.2899234493388,3
joblib,XGBoost,10000,1,2.3798595333161456,0.17237060909888,51.67176600036072,2.6001686822337335,3
joblib,XGBoost,10000,2,3.4322086666943505,1.8339332017273926,75.35749066776009,38.3484915350594,3
joblib,XGBoost,10000,4,3.9494107000064105,2.6295148280369043,86.48956666577057,58.77403284204851,3
joblib,XGBoost,10000,8,5.198113299983864,4.637484918315834,115.39108833480417,101.29369186970344,3
joblib,XGBoost,48842,1,10.523303166672122,0.22436406467417275,231.13276233290847,4.6688228727006145,3
joblib,XGBoost,48842,2,11.623499666660791,1.6281365498259959,255.0932860001964,34.81172589076413,3
joblib,XGBoost,48842,4,11.95966236666815,2.2400481784159445,262.2050823328337,51.2907880493124,3
joblib,XGBoost,48842,8,12.715852866667168,3.7587343387990213,280.00782433421637,82.89014876414461,3
multiprocessing,RandomForest,1000,1,125.67682249999295,5.237626204593245,3067.071612333333,451.83659006004353,3
multiprocessing,RandomForest,1000,2,73.0266713333355,7.8525594407317865,2040.3415403341703,163.68220628757896,3
multiprocessing,RandomForest,1000,4,44.81304340000497,3.3286529893375176,1293.6595530000366,46.534565235503884,3
multiprocessing,RandomForest,1000,8,40.23519646665469,1.7788072360070684,1108.6591523325471,30.22156053295406,3
multiprocessing,RandomForest,10000,1,1198.7861807000202,0.14112377774387896,27347.075705000883,29.364258105261676,3
multiprocessing,RandomForest,10000,2,687.7030271000112,9.377448274242276,18120.55781466643,200.1672182438128,3
multiprocessing,RandomForest,10000,4,421.39402373332996,0.49021754447204124,11147.557118000885,20.470795926800967,3
multiprocessing,RandomForest,10000,8,337.6023450000018,1.4483652687936475,8858.946492000718,20.513511329529184,3
multiprocessing,RandomForest,48842,1,9042.436279233312,5165.884005023865,160972.84142766628,48338.67608748348,3
multiprocessing,RandomForest,48842,2,3740.458955699966,70.53921269667006,82192.50111600039,1555.2359335731405,3
multiprocessing,RandomForest,48842,4,2469.806536266658,8.849285823076153,54239.44771633282,199.50136166567216,3
multiprocessing,RandomForest,48842,8,2216.66405256663,416.66535646623953,45147.2008143325,3014.7732243943206,3
multiprocessing,XGBoost,1000,1,2.826385566673707,0.11914522404914953,75.79329099945977,3.486171277911402,3
multiprocessing,XGBoost,1000,2,3.226139199997609,0.15716224535719245,96.32558300100486,4.43210094971383,3
