model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product
LogisticRegression,15,100,25,multiprocessing,2,5.752745100005996,144.78714599965025,10.306520300005408,175.83811166644037,8.238750943482456,65.78135920409495,3,0.09587908500009994,25.168357624519004,832.9235446933408
LogisticRegression,15,100,25,joblib,1,6.022432700032368,88.51564899927666,8.367929266688103,122.26982066667614,5.978555723631564,59.85539429756882,3,0.1003738783338728,14.697656812138543,533.0795389978312
LogisticRegression,15,100,25,joblib,2,6.088092899997719,153.81445999943372,10.194296833321763,178.31635733337598,7.518676532383505,53.10679649250879,3,0.10146821499996198,25.26480172460761,936.4367218395355
LogisticRegression,15,100,25,multiprocessing,4,6.248325900000054,168.57388499817438,9.208825066666273,177.50462266634682,6.030945007354627,32.394138132785116,3,0.10413876500000091,26.979048099615436,1053.3045716977235
LogisticRegression,15,100,25,serial,1,6.3327923999750055,95.06913999934864,8.63882583331239,128.90070900080445,6.199743283147758,60.599065710751645,3,0.10554653999958342,15.012199041882987,602.0531272600349
LogisticRegression,15,100,25,joblib,4,6.341008900024463,165.29839699919793,9.013963233330287,172.55239933268925,5.946756470586933,33.79919849026441,3,0.10568348166707439,26.06815407538069,1048.1586065316912
LogisticRegression,15,100,25,threading,1,6.377760600007605,94.82574599997476,8.580854366688678,126.83490466662214,5.999169027954377,59.65111826855484,3,0.10629601000012674,14.868188373182537,604.7759067049677
LogisticRegression,15,100,25,multiprocessing,1,8.099229499988724,152.47880700061944,12.7191766333223,200.24685933369423,9.77268426501514,87.15049233213199,3,0.1349871583331454,18.826334900231156,1234.960851782504
LogisticRegression,15,100,25,multiprocessing,8,8.67588870000327,231.5342279979912,10.789547599987904,232.4801826662795,5.7282575752452445,26.138332056782403,3,0.1445981450000545,26.687090625990155,2008.7651923517526
LogisticRegression,15,100,25,joblib,8,8.83026910002809,216.6129940025428,10.53408636666912,224.74511199982518,5.565124982205242,24.41399646575502,3,0.14717115166713485,24.530735309284484,1912.7510276052237
LogisticRegression,15,100,25,ray,2,9.137242699973283,221.7906149987056,15.347520966664888,267.76405066789715,11.773663443518663,91.64964697374204,3,0.15228737833288805,24.273254227925246,2026.5546778195078
LogisticRegression,15,100,25,ray,4,9.988051799999084,253.64945199750213,14.65926919997825,272.88698766513716,9.78022543899899,58.44849166022091,3,0.16646752999998474,25.395287997758018,2533.4638655924323
LogisticRegression,15,100,25,ray,1,10.509267600020394,227.4828880009613,18.026699366688263,292.76561066644143,13.506159412912004,118.02245012933594,3,0.1751544600003399,21.645931634714476,2390.6785444275706
LogisticRegression,15,100,25,threading,4,10.834826399979647,259.0475760014366,19.159805233318668,317.16318666794035,15.889455436307383,138.05918603276444,3,0.18058043999966078,23.908788792584918,2806.7355153110993
LogisticRegression,15,100,25,threading,8,11.231746099947486,279.26491800146505,19.949024099992435,334.7633560007002,16.061569156227172,134.6260226362445,3,0.1871957683324581,24.863891643951135,3136.6326536151096
LogisticRegression,15,100,25,ray,8,14.557018599996807,321.1789349989225,16.798337333331194,344.2803830006371,9.303718040485636,45.17228459969746,3,0.24261697666661344,22.063510655883405,4675.40773070648
LogisticRegression,15,100,25,threading,2,16.390697699971497,226.43487099959225,16.566368466670003,232.51858033394578,11.384483017805639,116.81857537807853,3,0.27317829499952495,13.814840292002092,3711.4255192863593
LogisticRegression,15,100,50,joblib,1,5.0050260000280105,114.08294400211405,6.051062433359523,124.5405753343587,1.8305233902293432,20.593891139087777,3,0.08341710000046684,22.793676596580234,570.9881008903204
LogisticRegression,15,100,50,serial,1,5.055504700052552,119.24332200057842,6.3668142333432725,131.63084233401707,2.3456158240146583,23.67792391889185,3,0.08425841166754253,23.586828432646673,602.8351748238041
LogisticRegression,15,100,50,threading,1,5.098005799984094,116.56262900069936,6.303695566641788,126.9350856678064,2.1075532081696697,20.979749594712878,3,0.08496676333306823,22.86435786343418,594.2369587069595
LogisticRegression,15,100,50,joblib,2,5.956821399973705,137.0440649986482,6.12266043331086,145.12320466711913,0.32712894714656887,15.215995006672998,3,0.09928035666622842,23.006240374984742,816.347019123335
LogisticRegression,15,100,50,multiprocessing,2,6.227206199953798,144.2061809988182,6.672124499978963,164.36666133287926,0.929345256071743,36.35106428158292,3,0.10378676999922996,23.157444344767022,898.0016243875003
LogisticRegression,15,100,50,joblib,4,6.738539199985098,157.63154900012566,6.465426999997969,164.56691366531217,0.6556358156021607,14.57921802182815,3,0.1123089866664183,23.39254018147943,1062.2063720917185
LogisticRegression,15,100,50,threading,2,6.852103499986697,164.12804099952828,9.674891199994212,190.03303666632328,5.582426365492597,68.82104970335403,3,0.11420172499977828,23.952942479611835,1124.6223241788277
LogisticRegression,15,100,50,multiprocessing,4,7.112762400007341,176.1920380000559,7.1939239000009065,202.66364166687393,0.464625155696192,58.79595016083418,3,0.11854604000012235,24.7712531491104,1253.2121030674623
LogisticRegression,15,100,50,multiprocessing,1,7.237602500012144,175.14610700214428,8.20681550000639,181.89053399967068,1.6962604567998507,18.402175043504112,3,0.12062670833353573,24.19946480921692,1267.6379019061137
LogisticRegression,15,100,50,joblib,8,9.164808299974538,216.42538299954103,8.403526433336083,221.43552599966367,1.6882859078023775,12.399479562329246,3,0.15274680499957563,23.614829237633078,1983.497146439362
LogisticRegression,15,100,50,multiprocessing,8,9.485692799964454,218.91109800252215,9.527486233331729,238.07948100069976,0.2542559157496739,33.40249446983745,3,0.15809487999940758,23.078029472274547,2076.5234261548376
LogisticRegression,15,100,50,ray,2,10.192768700013405,225.4520460000076,11.266970700002275,318.6106109995354,2.0079381657789046,161.54762192761777,3,0.16987947833355674,22.118822925875982,2297.9805578228597
LogisticRegression,15,100,50,threading,4,10.500176200002898,236.5604059996529,10.993799666680085,258.90740799920235,1.212702787841035,42.83536528453326,3,0.17500293666671496,22.52918441498035,2483.9259449405777
LogisticRegression,15,100,50,ray,4,10.87698719999753,238.70950700026205,11.578402966668364,311.47529599904743,1.462000545477345,129.56658185609206,3,0.18128311999995883,21.946289226148604,2596.440252159571
