strategy,model,feature_count,n_rows,background_size,n_cores,runs,additivity_passes,max_additivity_error,additivity_pass_rate
multiprocessing,SVM-RBF,15,100,50,2,3,3,3.844580903633599e-16,100.0
multiprocessing,SVM-RBF,15,100,50,4,3,3,5.204170427930421e-16,100.0
multiprocessing,SVM-RBF,15,100,50,8,3,3,4.458239333260394e-16,100.0
multiprocessing,SVM-RBF,15,100,100,1,3,3,5.568462357885551e-16,100.0
multiprocessing,SVM-RBF,15,100,100,2,3,3,4.996003610813204e-16,100.0
multiprocessing,SVM-RBF,15,100,100,4,3,3,5.898059818321144e-16,100.0
multiprocessing,SVM-RBF,15,100,100,8,3,3,6.028164079019406e-16,100.0
multiprocessing,SVM-RBF,30,100,25,1,3,3,4.440892098500626e-16,100.0
multiprocessing,SVM-RBF,30,100,25,2,3,3,4.915772650049277e-16,100.0
multiprocessing,SVM-RBF,30,100,25,4,3,3,3.87642934245036e-16,100.0
multiprocessing,SVM-RBF,30,100,25,8,3,3,4.465828748467793e-16,100.0
multiprocessing,SVM-RBF,30,100,50,1,3,3,3.355605723842636e-16,100.0
multiprocessing,SVM-RBF,30,100,50,2,3,3,4.440892098500626e-16,100.0
multiprocessing,SVM-RBF,30,100,50,4,3,3,3.3306690738754696e-16,100.0
multiprocessing,SVM-RBF,30,100,50,8,3,3,3.456436525883788e-16,100.0
multiprocessing,SVM-RBF,30,100,100,1,3,3,3.3306690738754696e-16,100.0
multiprocessing,SVM-RBF,30,100,100,2,3,3,3.3306690738754696e-16,100.0
multiprocessing,SVM-RBF,30,100,100,4,3,3,3.8857805861880484e-16,100.0
multiprocessing,SVM-RBF,30,100,100,8,3,3,3.3306690738754696e-16,100.0
ray,LogisticRegression,15,100,25,1,3,3,3.2924509472953556e-16,100.0
ray,LogisticRegression,15,100,25,2,3,3,2.7755575615628914e-16,100.0
ray,LogisticRegression,15,100,25,4,3,3,3.668398050604704e-16,100.0
ray,LogisticRegression,15,100,25,8,3,3,3.3306690738754696e-16,100.0
ray,LogisticRegression,15,100,50,1,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,50,2,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,50,4,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,50,8,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,100,1,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,100,2,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,100,4,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,15,100,100,8,3,3,3.3306690738754696e-16,100.0
ray,LogisticRegression,30,100,25,1,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,25,2,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,25,4,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,25,8,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,50,1,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,50,2,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,50,4,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,50,8,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,100,1,3,3,3.3306690738754696e-16,100.0
ray,LogisticRegression,30,100,100,2,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,100,4,3,3,4.440892098500626e-16,100.0
ray,LogisticRegression,30,100,100,8,3,3,4.440892098500626e-16,100.0
ray,SVM-RBF,15,100,25,1,3,3,3.3306690738754696e-16,100.0
ray,SVM-RBF,15,100,25,2,3,3,3.3306690738754696e-16,100.0
ray,SVM-RBF,15,100,25,4,3,3,3.3306690738754696e-16,100.0
ray,SVM-RBF,15,100,25,8,3,3,3.3306690738754696e-16,100.0
ray,SVM-RBF,15,100,50,1,3,3,4.675079767757495e-16,100.0
ray,SVM-RBF,15,100,50,2,3,3,4.787836793695989e-16,100.0
ray,SVM-RBF,15,100,50,4,3,3,4.909267437014364e-16,100.0
ray,SVM-RBF,15,100,50,8,3,3,4.917941054394248e-16,100.0
ray,SVM-RBF,15,100,100,1,3,3,4.993835206468233e-16,100.0
ray,SVM-RBF,15,100,100,2,3,3,5.898059818321144e-16,100.0
ray,SVM-RBF,15,100,100,4,3,3,5.785302792382653e-16,100.0
ray,SVM-RBF,15,100,100,8,3,3,6.028164079019406e-16,100.0
ray,SVM-RBF,30,100,25,1,3,3,4.2359778879008663e-16,100.0
ray,SVM-RBF,30,100,25,2,3,3,3.8857805861880484e-16,100.0
ray,SVM-RBF,30,100,25,4,3,3,3.8055496254241206e-16,100.0
ray,SVM-RBF,30,100,25,8,3,3,4.028895272956135e-16,100.0
ray,SVM-RBF,30,100,50,1,3,3,3.478120569333498e-16,100.0
ray,SVM-RBF,30,100,50,2,3,3,3.8055496254241206e-16,100.0
ray,SVM-RBF,30,100,50,4,3,3,3.2547749218014843e-16,100.0
ray,SVM-RBF,30,100,50,8,3,3,2.7755575615628914e-16,100.0
ray,SVM-RBF,30,100,100,1,3,3,3.456436525883788e-16,100.0
ray,SVM-RBF,30,100,100,2,3,3,3.3306690738754696e-16,100.0
ray,SVM-RBF,30,100,100,4,3,3,3.87642934245036e-16,100.0
ray,SVM-RBF,30,100,100,8,3,3,3.469446951953614e-16,100.0
serial,LogisticRegression,15,100,25,1,3,3,3.668398050604704e-16,100.0
serial,LogisticRegression,15,100,50,1,3,3,4.440892098500626e-16,100.0
serial,LogisticRegression,15,100,100,1,3,3,4.440892098500626e-16,100.0
serial,LogisticRegression,30,100,25,1,3,3,4.440892098500626e-16,100.0
serial,LogisticRegression,30,100,50,1,3,3,4.440892098500626e-16,100.0
serial,LogisticRegression,30,100,100,1,3,3,4.440892098500626e-16,100.0
serial,SVM-RBF,15,100,25,1,3,3,3.841328297116142e-16,100.0
serial,SVM-RBF,15,100,50,1,3,3,4.176346768414163e-16,100.0
serial,SVM-RBF,15,100,100,1,3,3,5.93275428784068e-16,100.0
serial,SVM-RBF,30,100,25,1,3,3,3.8055496254241206e-16,100.0
serial,SVM-RBF,30,100,50,1,3,3,3.300040362502754e-16,100.0
serial,SVM-RBF,30,100,100,1,3,3,2.796157402840116e-16,100.0
threading,LogisticRegression,15,100,25,1,3,3,3.4508122271140196e-16,100.0
threading,LogisticRegression,15,100,25,2,3,3,3.8325869171004783e-16,100.0
threading,LogisticRegression,15,100,25,4,3,3,3.3306690738754696e-16,100.0
threading,LogisticRegression,15,100,25,8,3,3,3.829743003980072e-16,100.0
threading,LogisticRegression,15,100,50,1,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,50,2,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,50,4,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,50,8,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,100,1,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,100,2,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,100,4,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,15,100,100,8,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,25,1,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,25,2,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,25,4,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,25,8,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,50,1,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,50,2,3,3,4.996003610813204e-16,100.0
threading,LogisticRegression,30,100,50,4,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,50,8,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,100,1,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,100,2,3,3,4.440892098500626e-16,100.0
threading,LogisticRegression,30,100,100,4,3,3,3.4911309954033243e-16,100.0
threading,LogisticRegression,30,100,100,8,3,3,4.440892098500626e-16,100.0
threading,SVM-RBF,15,100,25,1,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,15,100,25,2,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,15,100,25,4,3,3,3.972516759986888e-16,100.0
threading,SVM-RBF,15,100,25,8,3,3,3.677613769070831e-16,100.0
threading,SVM-RBF,15,100,50,1,3,3,4.601354020028481e-16,100.0
threading,SVM-RBF,15,100,50,2,3,3,4.787836793695989e-16,100.0
threading,SVM-RBF,15,100,50,4,3,3,4.176346768414163e-16,100.0
threading,SVM-RBF,15,100,50,8,3,3,4.917941054394248e-16,100.0
threading,SVM-RBF,15,100,100,1,3,3,6.019490461639522e-16,100.0
threading,SVM-RBF,15,100,100,2,3,3,5.93275428784068e-16,100.0
threading,SVM-RBF,15,100,100,4,3,3,4.996003610813204e-16,100.0
threading,SVM-RBF,15,100,100,8,3,3,6.019490461639522e-16,100.0
threading,SVM-RBF,30,100,25,1,3,3,3.8857805861880484e-16,100.0
threading,SVM-RBF,30,100,25,2,3,3,4.440892098500626e-16,100.0
threading,SVM-RBF,30,100,25,4,3,3,4.613551294468943e-16,100.0
threading,SVM-RBF,30,100,25,8,3,3,3.8857805861880484e-16,100.0
threading,SVM-RBF,30,100,50,1,3,3,3.400058012914542e-16,100.0
threading,SVM-RBF,30,100,50,2,3,3,3.503328269843786e-16,100.0
threading,SVM-RBF,30,100,50,4,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,30,100,50,8,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,30,100,100,1,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,30,100,100,2,3,3,2.918672248330978e-16,100.0
threading,SVM-RBF,30,100,100,4,3,3,3.3306690738754696e-16,100.0
threading,SVM-RBF,30,100,100,8,3,3,3.3306690738754696e-16,100.0
