strategy,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_kwh,std_energy_kwh,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes
joblib,48.313406414581145,58.79985222679556,0.0002893357539891933,0.0003378627786366157,1041.6087143611846,1216.3060030918755,144,0.8052234402430191
threading,49.924210540970506,55.188947324757,0.0002815873635338624,0.0002937045246810542,1013.7145087220067,1057.3362888518488,144,0.8320701756828418
multiprocessing,50.02543093055364,58.629966640331624,0.00029001766038575335,0.00031628966643752515,1044.0635773888148,1138.6427991751575,144,0.833757182175894
ray,51.90649169374875,54.051512516932426,0.00030190583283371843,0.00029031571170328666,1086.8609982014868,1045.1365621318917,144,0.8651081948958125
serial,80.71370491388855,90.74607313125513,0.00040830941510030627,0.00044539353952495676,1469.9138943611813,1603.4167422899036,36,1.3452284152314757
