track,strategy,model,feature_count,n_cores,n_rows,background_size,repeats,mean_time_sec,std_time_sec,median_time_sec,min_time_sec,max_time_sec,mean_energy_joules,std_energy_joules,median_energy_joules,serial_time_sec,serial_energy_joules,speedup_vs_serial,parallel_efficiency,energy_per_second
kernelshap,joblib,LogisticRegression,15,1,100,25,3,8.367929266688103,5.978555723631564,6.022432700032368,3.917767899984028,15.163587200047914,122.26982066667614,59.85539429756882,88.51564899927666,8.63882583331239,128.90070900080445,1.0323731903067943,1.0323731903067943,14.611717758349151
kernelshap,joblib,LogisticRegression,15,1,100,50,3,6.051062433359523,1.8305233902293432,5.0050260000280105,4.983429300016724,8.164732000033837,124.5405753343587,20.593891139087777,114.08294400211405,6.3668142333432725,131.63084233401707,1.0521812166807285,1.0521812166807285,20.581604752211145
kernelshap,joblib,LogisticRegression,15,1,100,100,3,12.29313030000776,10.273358645100766,6.381446100014728,6.342183400003705,24.15576140000485,204.76147800020104,108.09311724925162,143.8599180000444,12.27457896664661,201.54536866905937,0.9984909186750311,0.9984909186750311,16.656577535834934
kernelshap,joblib,LogisticRegression,15,2,100,25,3,10.194296833321763,7.518676532383505,6.088092899997719,5.622837400005665,18.871960199961904,178.31635733337598,53.10679649250879,153.81445999943372,8.63882583331239,128.90070900080445,0.8474175290908682,0.4237087645454341,17.49177606350633
kernelshap,joblib,LogisticRegression,15,2,100,50,3,6.12266043331086,0.32712894714656887,5.956821399973705,5.91166429995792,6.499495600000955,145.12320466711913,15.215995006672998,137.0440649986482,6.3668142333432725,131.63084233401707,1.0398770767531174,0.5199385383765587,23.702638133835393
kernelshap,joblib,LogisticRegression,15,2,100,100,3,11.54279556668674,8.06445173420659,6.940110000025015,6.833657200040761,20.85461949999444,214.6316083340538,100.3032302614817,157.61289399878197,12.27457896664661,201.54536866905937,1.0633974149270948,0.5316987074635474,18.59442169741744
kernelshap,joblib,LogisticRegression,15,4,100,25,3,9.013963233330287,5.946756470586933,6.341008900024463,4.872722000000067,15.828158799966332,172.55239933268925,33.79919849026441,165.29839699919793,8.63882583331239,128.90070900080445,0.9583826347737056,0.2395956586934264,19.142789344275844
kernelshap,joblib,LogisticRegression,15,4,100,50,3,6.465426999997969,0.6556358156021607,6.738539199985098,5.717384500021581,6.940357299987227,164.56691366531217,14.57921802182815,157.63154900012566,6.3668142333432725,131.63084233401707,0.9847476792090101,0.24618691980225252,25.45337124142982
kernelshap,joblib,LogisticRegression,15,4,100,100,3,9.713139433336133,3.5864821188318174,7.679149800038431,7.606031399976928,13.854237099993044,218.56426333272114,80.59149656899051,173.00992399835735,12.27457896664661,201.54536866905937,1.2637087165164589,0.3159271791291147,22.50191761713975
kernelshap,joblib,LogisticRegression,15,8,100,25,3,10.53408636666912,5.565124982205242,8.83026910002809,6.02004949998809,16.75194049999118,224.74511199982518,24.41399646575502,216.6129940025428,8.63882583331239,128.90070900080445,0.820083064882255,0.10251038311028188,21.33503601327408
kernelshap,joblib,LogisticRegression,15,8,100,50,3,8.403526433336083,1.6882859078023775,9.164808299974538,6.468650399998296,9.577120600035414,221.43552599966367,12.399479562329246,216.42538299954103,6.3668142333432725,131.63084233401707,0.7576360095788662,0.09470450119735828,26.350309927180994
kernelshap,joblib,LogisticRegression,15,8,100,100,3,11.731748700006088,3.179690707924742,9.910698499996217,9.881247700017411,15.40329990000464,253.8205086664358,48.25476221404921,226.41318900059605,12.27457896664661,201.54536866905937,1.0462701921530453,0.13078377401913066,21.63535165616905
kernelshap,joblib,LogisticRegression,30,1,100,25,3,11.744378799999444,7.813215256978702,9.43686010001693,5.344804399996065,20.451471899985336,172.18378066738288,74.34123051241866,142.30245600078825,11.51385836668002,169.8664703336281,0.9803718496103485,0.9803718496103485,14.660952579917724
kernelshap,joblib,LogisticRegression,30,1,100,50,3,8.159826333304713,2.8747858491773264,6.578970499977004,6.42239649995463,11.478111999982502,162.78161966650634,31.640474434208972,147.4005300015291,8.370689766656142,180.94959233325855,1.025841657008162,1.025841657008162,19.949152471800232
kernelshap,joblib,LogisticRegression,30,1,100,100,3,17.54502869998881,14.396656670464138,9.23787449998781,9.228356599982362,34.168854999996256,277.2220370012346,134.8925664887523,200.0719990019717,10.566299700003583,204.0816880005847,0.6022389521659958,0.6022389521659958,15.800603221664232
kernelshap,joblib,LogisticRegression,30,2,100,25,3,12.2960178333063,8.4800751829003,7.704013999958988,7.102239999978337,22.08179949998157,208.95206200108734,64.18742840001087,185.84040399916708,11.51385836668002,169.8664703336281,0.9363892052508546,0.4681946026254273,16.993474215294125
kernelshap,joblib,LogisticRegression,30,2,100,50,3,8.359503300006812,0.6483586878943468,8.222504400007892,7.790592000004835,9.065413500007708,195.3819496672435,22.26054938816226,182.8582360006104,8.370689766656142,180.94959233325855,1.0013381736028886,0.5006690868014443,23.372435257856083
kernelshap,joblib,LogisticRegression,30,2,100,100,3,16.65070036664838,11.106210442138591,10.433950599981472,10.045068499981426,29.47308199998224,277.5895696665198,86.16508634843402,233.14486300022307,10.566299700003583,204.0816880005847,0.6345859013334989,0.31729295066674945,16.671344961713213
kernelshap,joblib,LogisticRegression,30,4,100,25,3,10.118741933333999,6.1915800591628,6.917402399994899,6.183236800017767,17.25558659998933,189.1676653330086,36.933838365642295,184.6415620003379,11.51385836668002,169.8664703336281,1.1378744949261048,0.2844686237315262,18.694781088332416
kernelshap,joblib,LogisticRegression,30,4,100,50,3,7.310028733336367,0.7648310495141712,7.52473150001606,6.46079219999956,7.944562499993481,185.8922056664103,20.237720267187893,175.10429800008387,8.370689766656142,180.94959233325855,1.1450966982500053,0.2862741745625013,25.429750339923398
kernelshap,joblib,LogisticRegression,30,4,100,100,3,13.174088833349137,6.919190597330917,9.20353509997949,9.155098400020506,21.16363300004741,227.09264900059313,44.2315450507371,202.4784090017384,10.566299700003583,204.0816880005847,0.8020516510603642,0.20051291276509106,17.23782584687956
kernelshap,joblib,LogisticRegression,30,8,100,25,3,11.352601233326519,5.647217677664376,9.674227999988943,6.734832199988887,17.64874350000173,243.02810133320986,23.155533092954432,245.9761610010568,11.51385836668002,169.8664703336281,1.0142044215276511,0.1267755526909564,21.407261326133817
kernelshap,joblib,LogisticRegression,30,8,100,50,3,9.364594266652906,1.7104854838378598,9.940882799972314,7.44039399997564,10.712506000010762,248.75713833343445,28.306522450505422,238.54384999969503,8.370689766656142,180.94959233325855,0.89386571679501,0.11173321459937625,26.56357886419624
kernelshap,joblib,LogisticRegression,30,8,100,100,3,14.528211666678544,4.70085067013109,11.858421800017824,11.770165900001302,19.956047300016508,271.18473900134,24.530688517099488,257.5655050020109,10.566299700003583,204.0816880005847,0.727295275043254,0.09091190938040675,18.666078470161672
kernelshap,joblib,SVM-RBF,15,1,100,25,3,91.15773803331346,74.31191995649175,53.40272100002039,43.30309189995751,176.76740119996248,1401.605219333426,696.564496261127,1018.1456830009598,101.59128466667607,1535.8600576653625,1.1144559623621824,1.1144559623621824,15.375603317638394
kernelshap,joblib,SVM-RBF,15,1,100,50,3,97.68998383334838,25.440932468728374,83.63091130001703,82.3812590999878,127.0577811000403,1960.8357926668243,122.21529467451329,1905.9216709995108,102.98085980000906,1978.0055066658442,1.054159861216545,1.054159861216545,20.072024947940005
kernelshap,joblib,SVM-RBF,15,1,100,100,3,198.28556073332825,61.18364119459739,163.41951069998322,162.5048012000043,268.9323702999973,3959.607171999693,452.2324405634329,3702.088272999182,203.61220633335566,3851.4972386653576,1.02686350725856,1.02686350725856,19.969215899310583
kernelshap,joblib,SVM-RBF,15,2,100,25,3,64.48503893334419,49.10486540825611,43.01386250002543,29.77253319998272,120.6687211000244,982.603990666143,461.3631556800105,753.9936840016879,101.59128466667607,1535.8600576653625,1.5754241037473398,0.7877120518736699,15.237704852467013
kernelshap,joblib,SVM-RBF,15,2,100,50,3,66.46552920001947,20.778866264227013,55.69698990002507,53.28127159998985,90.41832610004349,1392.6253676672004,221.89362124603687,1309.5519350008856,102.98085980000906,1978.0055066658442,1.5493874951345288,0.7746937475672644,20.952595795578084
kernelshap,joblib,SVM-RBF,15,2,100,100,3,136.90160699999737,43.28144958424062,112.2339991000481,111.59346999996342,186.87735189998057,2859.4432516667657,658.4696213370489,2483.4273910007696,203.61220633335566,3851.4972386653576,1.4872886505514837,0.7436443252757419,20.886849426587233
kernelshap,joblib,SVM-RBF,15,4,100,25,3,39.490379266634896,26.098999855148822,24.433266799955163,24.41096529999049,69.62690569995902,717.5439846659215,166.52991405301466,716.1664680009018,101.59128466667607,1535.8600576653625,2.572557836954221,0.6431394592385552,18.17009605861569
kernelshap,joblib,SVM-RBF,15,4,100,50,3,45.911966533322506,6.7021797663605085,43.36322419997305,40.85805609996896,53.51461930002552,1110.4057459999387,246.05624100984892,972.1708489984716,102.98085980000906,1978.0055066658442,2.243006945155931,0.5607517362889828,24.185540935041757
kernelshap,joblib,SVM-RBF,15,4,100,100,3,81.90474149999984,2.5439445890633583,82.05530219996581,79.28886030003196,84.37006200000178,2076.1696913328965,336.26530313438604,1925.047168997529,203.61220633335566,3851.4972386653576,2.485963603625512,0.621490900906378,25.3485897557335
kernelshap,joblib,SVM-RBF,15,8,100,25,3,31.752825666665256,17.311075287989915,25.47155010001734,18.459276199981105,51.32765069999732,649.8404879998568,58.05388717934837,657.4426770006246,101.59128466667607,1535.8600576653625,3.1994407594826626,0.3999300949353328,20.46559556058887
kernelshap,joblib,SVM-RBF,15,8,100,50,3,38.020579033356626,6.769340686420367,41.21004070003983,30.245680399995763,42.60601600003429,1008.9920526670008,77.80947377440982,967.6179359999092,102.98085980000906,1978.0055066658442,2.70855579841803,0.33856947480225374,26.538050664135888
kernelshap,joblib,SVM-RBF,15,8,100,100,3,66.97265196667286,8.98205712270292,69.76036969997222,56.92727169999853,74.23031450004783,1766.5781599994127,95.37802843294338,1740.184170002057,203.61220633335566,3851.4972386653576,3.0402291137385125,0.38002863921731406,26.37760500925815
kernelshap,joblib,SVM-RBF,30,1,100,25,3,66.89520816667937,10.197314771466793,71.36022010003217,55.22697329998482,74.09843110002112,1099.762280000475,149.9283567086726,1077.432932999555,122.77444749998783,1791.3019893334895,1.8353249935941154,1.8353249935941154,16.440075606914228
kernelshap,joblib,SVM-RBF,30,1,100,50,3,135.73973103331323,52.95001934201932,105.39367989997844,104.94491530000232,196.88059789995896,3333.740607333942,1486.1471127306968,2519.5493589999064,128.50357733331234,2583.1674539993855,0.9466909677445507,0.9466909677445507,24.559799713436707
kernelshap,joblib,SVM-RBF,30,1,100,100,3,254.41566463332856,85.55225397717851,205.6098181999987,204.4365996000124,353.20057609997457,5269.286041666691,855.3682248688087,4811.046468999191,251.37101646667966,4882.159815333384,0.9880327802494515,0.9880327802494515,20.711327068877395
kernelshap,joblib,SVM-RBF,30,2,100,25,3,43.63671313330997,7.485194703146493,40.11976019997383,38.55768849997549,52.232690699980594,884.4880550005961,28.053131075307476,885.0023980001009,122.77444749998783,1791.3019893334895,2.813558553892738,1.406779276946369,20.269355583645563
kernelshap,joblib,SVM-RBF,30,2,100,50,3,87.41754619998392,30.648470376692075,71.86760349996621,67.66111370001454,122.723921399971,1945.9226479989502,585.1116722628841,1611.0525270015107,128.50357733331234,2583.1674539993855,1.4699975338971019,0.7349987669485509,22.260092310842147
kernelshap,joblib,SVM-RBF,30,2,100,100,3,166.12663576668515,59.01989484648766,139.9638125000056,124.71054290002212,233.70555190002776,3524.5744969986863,698.0562944685679,3230.442467999317,251.37101646667966,4882.159815333384,1.513128917025173,0.7565644585125865,21.216191375528357
kernelshap,joblib,SVM-RBF,30,4,100,25,3,28.63975729997037,2.0019732611034615,29.45346689998405,26.35905499994988,30.106749999977183,753.0257283333331,102.01592809192927,717.2547980014987,122.77444749998783,1791.3019893334895,4.286853628473829,1.0717134071184573,26.293020588345282
kernelshap,joblib,SVM-RBF,30,4,100,50,3,53.881502499978524,6.015051933444623,52.92695509997429,48.40080010000384,60.31675229995744,1392.5997626664494,302.81056460365255,1238.292091997606,128.50357733331234,2583.1674539993855,2.3849293611172695,0.5962323402793174,25.845600030678515
