strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
joblib,SVM-RBF,30,100,25,4,28.63975729997037,2.0019732611034615,753.0257283333331,102.01592809192927,3,6.9901893376223985,13.547469130665753
multiprocessing,LogisticRegression,30,100,50,4,7.718558499997016,0.5304856142510028,199.65156199999583,39.04042314222501,3,6.8728586335286295,19.55427884016546
multiprocessing,LogisticRegression,15,100,50,4,7.1939239000009065,0.464625155696192,202.66364166687393,58.79595016083418,3,6.458577574001491,29.01159264545308
multiprocessing,LogisticRegression,30,100,50,8,10.71412283333484,0.6588575752004129,259.58559666630214,24.40621891236325,3,6.149430853550697,9.401992724479816
threading,SVM-RBF,15,100,50,4,40.31627673333666,2.1743350383236923,994.3141393337983,141.04050501667223,3,5.393194050892556,14.184702745067163
joblib,LogisticRegression,15,100,50,2,6.12266043331086,0.32712894714656887,145.12320466711913,15.215995006672998,3,5.34292160588877,10.484880789102721
ray,SVM-RBF,15,100,100,4,79.01298363332171,4.048360547778192,1998.0050909992804,218.8001415720006,3,5.123664949251328,10.95093013314446
threading,LogisticRegression,30,100,50,8,13.03368826668399,0.6441582449868747,309.9615706666253,40.88830682192656,3,4.942256035334505,13.191411675321325
threading,LogisticRegression,15,100,50,8,11.631644599993402,0.4411310626051769,282.2413350007616,41.80512858899218,3,3.792508091292844,14.811837744772353
multiprocessing,SVM-RBF,30,100,100,4,96.90920876663101,3.5624910249519663,2471.223061333572,413.77952227197636,3,3.6761119714957857,16.74391635244308
threading,SVM-RBF,30,100,25,4,25.877610666677356,0.8969765428895159,665.4435383326468,65.48471176275898,3,3.466226285120497,9.840761535808017
joblib,SVM-RBF,15,100,100,4,81.90474149999984,2.5439445890633583,2076.1696913328965,336.26530313438604,3,3.1059796325263576,16.196426743832507
threading,SVM-RBF,15,100,100,4,77.01552739999413,2.1670523567931035,1926.9072026651677,320.4410845878472,3,2.813786297324335,16.62981404317939
multiprocessing,LogisticRegression,15,100,50,8,9.527486233331729,0.2542559157496739,238.07948100069976,33.40249446983745,3,2.6686568683790317,14.02997617830798
ray,LogisticRegression,30,100,50,2,11.063081400003284,0.16235523350816772,262.408264332796,24.972074248462523,3,1.4675408020420018,9.516496864897517
