strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
multiprocessing,LogisticRegression,30,100,25,2,12.226878133330805,9.446164463076101,204.45594966489043,79.41970648264885,3,77.25736987044631,38.84440957224291
multiprocessing,LogisticRegression,15,100,25,1,12.7191766333223,9.77268426501514,200.24685933369423,87.15049233213199,3,76.8342523006733,43.521527689432155
ray,LogisticRegression,15,100,25,2,15.347520966664888,11.773663443518663,267.76405066789715,91.64964697374204,3,76.71377982862045,34.22776386342221
threading,LogisticRegression,30,100,100,8,25.865173866661888,19.805060468417235,420.2403730002081,177.43762265410834,3,76.57037439807954,42.222888150258825
multiprocessing,SVM-RBF,30,100,25,2,81.72734173331021,62.39255173389174,1238.3215896677812,594.3737945360257,3,76.34232364670433,47.99833900138051
multiprocessing,LogisticRegression,30,100,25,1,15.403823599995425,11.743815663582007,237.07079966625022,110.63221120429465,3,76.23961406300118,46.66631713397153
joblib,SVM-RBF,15,100,25,2,64.48503893334419,49.10486540825611,982.603990666143,461.3631556800105,3,76.1492374363207,46.953112348672185
threading,SVM-RBF,15,100,25,2,61.329970366651345,46.695196041124824,991.0522073329834,401.7989341405211,3,76.13764650784131,40.542660736491435
threading,LogisticRegression,30,100,25,8,23.037747166662786,17.492251293351238,390.7375443318442,142.55153632661322,3,75.9286538167401,36.48268214675259
threading,LogisticRegression,15,100,100,4,19.7366124666684,14.966648791947463,335.32382466609505,156.65595943603458,3,75.83190285173532,46.717813621512775
ray,SVM-RBF,30,100,25,1,111.46203383331886,83.72113703361984,1649.407678333039,823.3238644408668,3,75.11179740252814,49.916335133891984
ray,LogisticRegression,15,100,25,1,18.026699366688263,13.506159412912004,292.76561066644143,118.02245012933594,3,74.92308568628034,40.31294859415822
multiprocessing,SVM-RBF,30,100,25,1,126.53231486664542,94.79453269013655,1848.626122332754,945.7070620077186,3,74.91725160489014,51.15729192522417
