strategy,model,n_rows,n_cores,mean_wall_time_sec,std_wall_time_sec,mean_energy_joules,std_energy_joules,repeats,mean_wall_time_min,mean_wall_time_hours
joblib,RandomForest,1000,8,36.56819860000784,5.3191852850122645,996.8395013339667,145.99327818996494,3,0.6094699766667974,0.010157832944446622
joblib,RandomForest,10000,8,314.78075003332924,2.3650697863493244,8790.417808333628,86.02716483952298,3,5.246345833888821,0.08743909723148034
joblib,RandomForest,48842,8,1733.7114346000017,4.9354016786365005,43008.84609266631,181.4818040684667,3,28.895190576666696,0.4815865096111116
serial,XGBoost,1000,1,0.20606620000520096,0.019665925363920356,7.786878999689297,0.6332352493187277,3,0.003434436666753349,5.7240611112555824e-05
serial,XGBoost,10000,8,2.1872384999878705,0.07254826770468184,52.16340699967237,1.4515419803085101,3,0.03645397499979784,0.0006075662499966306
threading,XGBoost,48842,4,10.460318733336559,0.07579027544932536,230.69543366682765,2.0670490204813747,3,0.17433864555560932,0.0029056440925934886
