strategy,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,runs,mean_wall_time_min
multiprocessing,854.6083095694363,17421.771902194472,2149.8070161618007,37468.508094569894,72,14.243471826157272
joblib,1030.9585506916703,19553.739705736192,2797.987856223893,44144.92687183002,72,17.18264251152784
serial,1552.4758459680468,30199.511882055576,3275.645953127061,56661.41941771276,72,25.87459743280078
threading,1599.3876378930504,31507.621034861084,3335.0422391456877,60097.82418214992,72,26.65646063155084
ray,1673.2485935333366,24553.97775048619,4318.034441800157,54708.62006439629,72,27.88747655888894
