model,n_rows,strategy,n_cores,median_wall_time_sec,median_energy_joules,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,repeats,median_wall_time_min,energy_per_second,normalized_time,normalized_energy,balanced_score,selection_reason
RandomForest,1000,joblib,8,34.2981006000191,920.5197619997592,36.56819860000784,996.8395013339668,5.3191852850122645,145.99327818996494,3,0.5716350100003182,26.838797073189724,0.0,0.0,0.0,Best normalized time-energy trade-off
RandomForest,10000,joblib,8,314.09369350003544,8754.953805999377,314.78075003332924,8790.417808333628,2.3650697863493244,86.02716483952298,3,5.234894891667257,27.87370134191628,0.0,0.0,0.0,Best normalized time-energy trade-off
RandomForest,48842,joblib,8,1736.5053782000032,42921.39286000074,1733.7114346000017,43008.84609266631,4.9354016786365005,181.4818040684667,3,28.941756303333385,24.717109085196995,0.0,0.0,0.0,Best normalized time-energy trade-off
XGBoost,1000,serial,2,0.2320661999983713,6.277835001382293,0.2108767333362872,6.193169667421155,0.0390744894921504,0.3443146267140216,3,0.0038677699999728,27.051914502958,0.0014721033724693362,0.0,0.0007360516862346681,Best normalized time-energy trade-off
XGBoost,10000,serial,8,2.1879432999994606,52.20152799902955,2.1872384999878705,52.16340699967237,0.0725482677046818,1.45154198030851,3,0.0364657216666576,23.858720652880915,0.0,0.0010165401879324348,0.0005082700939662174,Best normalized time-energy trade-off
XGBoost,48842,joblib,1,10.449651100003392,230.2851600019196,10.523303166672122,231.13276233290847,0.2243640646741727,4.668822872700615,3,0.1741608516667231,22.037593197905416,0.0014681228266549147,0.0029463488961068564,0.0022072358613808856,Best normalized time-energy trade-off
