strategy,model,n_rows,n_cores,mean_wall_time_sec,std_wall_time_sec,mean_energy_joules,std_energy_joules,repeats,mean_wall_time_min,mean_wall_time_hours
joblib,RandomForest,1000,1,120.29998473334126,0.32403421329865034,2719.1337850009586,14.815690390397853,3,2.0049997455556876,0.033416662425928126
joblib,RandomForest,1000,2,64.07744313334115,1.8839924641630077,1877.2004253332277,53.52297008582113,3,1.0679573855556859,0.01779928975926143
joblib,RandomForest,1000,4,38.01617916667601,0.9556047342327484,1221.8096513332666,65.36001048381382,3,0.6336029861112669,0.010560049768521115
joblib,RandomForest,1000,8,36.56819860000784,5.3191852850122645,996.8395013339667,145.99327818996494,3,0.6094699766667974,0.010157832944446622
joblib,RandomForest,10000,1,1198.6488901667374,0.3744001890966413,26870.34539033257,24.517063897123144,3,19.977481502778957,0.33295802504631594
joblib,RandomForest,10000,2,640.0626074333753,27.037089450164835,18360.292345000253,503.29319090384365,3,10.667710123889588,0.17779516873149315
joblib,RandomForest,10000,4,404.22041200000484,2.8319176149511187,11256.657094332613,36.53027953350005,3,6.737006866666747,0.11228344777777913
joblib,RandomForest,10000,8,314.78075003332924,2.3650697863493244,8790.417808333628,86.02716483952298,3,5.246345833888821,0.08743909723148034
joblib,RandomForest,48842,1,11408.50295296667,3515.5845787323747,184975.32702966649,29004.453108580852,3,190.14171588277785,3.1690285980462973
joblib,RandomForest,48842,2,6518.161617366674,5467.4998612011,112982.60073500076,49466.697542689995,3,108.63602695611124,1.8106004492685206
joblib,RandomForest,48842,4,2199.1301959000025,100.44316134834732,54731.42300399973,1710.66084017215,3,36.652169931666705,0.6108694988611117
joblib,RandomForest,48842,8,1733.7114346000017,4.9354016786365005,43008.84609266631,181.4818040684667,3,28.895190576666696,0.4815865096111116
joblib,XGBoost,1000,1,0.23947299999417734,0.07066616438598013,7.700621666566032,1.049711532410981,3,0.003991216666569622,6.652027777616037e-05
joblib,XGBoost,1000,2,1.0913684333014924,1.3480267646839006,32.15886366661548,35.71949229384118,3,0.018189473888358208,0.00030315789813930346
joblib,XGBoost,1000,4,1.4728339333087204,2.0196976881601696,40.41567566665794,54.65240008108656,3,0.024547232221812005,0.0004091205370302001
joblib,XGBoost,1000,8,2.238964866652774,3.111852117839099,61.2360476661758,85.2899234493388,3,0.03731608111087957,0.0006219346851813262
joblib,XGBoost,10000,1,2.3798595333161456,0.17237060909888,51.67176600036072,2.6001686822337335,3,0.039664325555269095,0.0006610720925878182
